Vessel Name,Date of Wreck,Event,Location of wreck,Tonnage,Length (FT),Breadth (FT),depth (ft),Masts,Decks,Hull,Description,Story,Vessel Type,Type of event,Nature of Event,Cause of Event,Cargo,Lives Lost,Voyage from,Voyage To,Remarks,Built At,Date Built,Official Number,Registered at,Date Registered,Propulsion,Rig,Details
Samuel - 1880,1880-03-09,Stranded,"West Black Ledge, entrance to Canso Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Lady Of Avon - 1904,1904-09-11,Collision,"West Bay, Parsboro",,,,,,,,,,,,,,,,,,,,,,,,,,
Alice - 1906,1906-10-07,Stranded,"West Bay, Parrsboro, Minas Channel",,,,,,,,,,,,,,,,,,,,,,,,,,
Angie Russell - 1876,1876-12-19,Stranded,"West Bay, Parrsboro",,,,,,,,,,,,,,,,,,,,,,,,,,
Clydesdale - 1880,1880-10-23,Stranded,"West Bay, Parrsboro",,,,,,,,,,,,,,,,,,,,,,,,,,
Three Sisters - 1893,1893-08-21,Stranded,"West Bay, Minas Basin",,,,,,,,,,,,,,,,,,,,,,,,,,
Maggie - 1879,1879-10-29,Stranded,West Arichat,,,,,,,,,,,,,,,,,,,,,,,,,,
Bright Star - 1885,1885-01-01,Wrecked,West Arichat,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine - 1900,1900-11-01,Sank,West Arichat,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady Bell - 1976,1976-02-02,Damaged,"Wedgeport, Tuna wharf",,,,,,,,,,,,,,,,,,,,,,,,,,
Alice and Jennie - 1936,1936-01-02,Foundered,"Wedge Island, 6 miles SSE from",,,,,,,,,,,,,,,,,,,,,,,,,,
Margaret J. - 1898,1898-12-01,Wrecked,Wedge Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Levuka - 1914,1914-12-22,Stranded,"Walton, Minas Basin",,,,,,,,,,,,,,,,,,,,,,,,,,
Ann Louise Lockwood - 1914,1914-05-01,Stranded,Walton River,,,,,,,,,,,,,,,,,,,,,,,,,,
Charley Troop - 1916,1916-09-29,Foundered,Walton,,,,,,,,,,,,,,,,,,,,,,,,,,
Advance - 1879,1879-08-19,Stranded,Wallace Harbour,,,,,,,,,,,,,,,,,,,,,,,,,,
Nine Brothers - 1873,1873-12-05,Stranded,Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizzie Gillespie - 1879,1879-12-10,Stranded,"Walkers Reef, Cape Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Abraham - 1892,1892-07-02,Stranded,"Walkers Ledge, Cape Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Vera - 1908,1908-12-30,Wrecked,"Walkers Ledge, 3 miles W of Cranberry Island Light",,,,,,,,,,,,,,,,,,,,,,,,,,
Cedar Grove - 1882,1882-11-30,Stranded,"Walkers Head, Cape Island, Canso, 1/4 mile SE from",,,,,,,,,,,,,,,,,,,,,,,,,,
Four Brothers - 1883,1883-08-30,Stranded,"Walkers Cove, Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Ruth E. Thibeault - 1965,1965-09-28,Wrecked,Volgers Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
Joanne Jeffrey - 1980,1980-11-19,Wrecked,Volgers Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph - 1904,1904-05-13,Stranded,Voglers Cove,,,,,,,,,,,,,,,,,,,,,,,,,,
Heiress - 1878,1878-01-08,Burnt,"Victoria Bridge, on flats below",,,,,,,,,,,,,,,,,,,,,,,,,,
Gail And Sharry - 1969,1969-01-11,Wrecked,Upper Port LaTour,,,,,,,,,,,,,,,,,,,,,,,,,,
Friendship - 1788,1788-01-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Success - 1789,1789-01-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Trial - 1805,1805-01-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Bird - 1811,1811-01-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Brothers - 1813,1813-01-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Two Brothers - 1820,1820-01-01,Stranded,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilant - 1820,1820-01-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Isabella - 1821,1821-01-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Morning Star - 1823,1823-01-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Bachelor - 1827,1827-01-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero - 1827,1827-01-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliza - 1835,1835-01-04,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Vulcan - 1836,1836-01-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah - 1837,1837-01-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Brisk - 1839,1839-01-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Superb - 1839,1839-01-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodbine - 1839,1839-01-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Susan Crane - 1840,1840-10-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Alert - 1843,1843-01-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Dove - 1845,1845-10-11,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce - 1848,1848-06-09,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur - 1849,1849-01-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Roderick - 1870,1870-09-04,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
M. A. Benson - 1870,1870-09-05,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Niagara - 1870,1870-09-19,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
William Bowen - 1870,1870-09-19,Collision,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Idolexue - 1871,1871-01-01,Stranded,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Kooria Mooria - 1871,1871-01-01,Stranded,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisa Cook - 1871,1871-01-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnie Arnold - 1871,1871-02-15,Abandoned,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Dacian - 1872,1872-01-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Hector - 1872,1872-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Mineola - 1872,1872-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozart - 1872,1872-03-04,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteriana - 1873,1873-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
E. & F. Williams - 1873,1873-06-20,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Neried - 1873,1873-07-27,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Messenger - 1873,1873-08-24,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Native - 1873,1873-08-24,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Pictou - 1873,1873-11-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangier - 1873,1873-11-07,Abandoned,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Cynthea Palmer - 1874,1874-05-10,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Xagua - 1874,1874-09-04,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Bessie - 1876,1876-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
G. W. Jones - 1876,1876-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
George - 1876,1876-01-01,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Katie - 1876,1876-01-01,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnie Cronan - 1876,1876-01-01,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
W. J. Hatfield - 1876,1876-01-28,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen Of The Cape - 1876,1876-02-01,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Alice M. - 1876,1876-09-01,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Bessie Gardner - 1876,1876-12-09,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarence - 1876,1876-12-09,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Lydia - 1876,1876-12-11,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Lennox - 1877,1877-01-01,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
S. H. Sweet - 1877,1877-11-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Evading - 1877,1877-12-03,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Glennala - 1878,1878-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessie Purney - 1878,1878-01-01,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
John Snow - 1878,1878-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Malta - 1878,1878-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Nellie Jones - 1878,1878-01-01,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Walloon - 1878,1878-01-01,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpha - 1879,1879-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Boadicea - 1879,1879-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Coila - 1879,1879-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Dartmouth - 1879,1879-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreadnot - 1879,1879-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
G. T. Windsor - 1879,1879-01-01,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Jessie Mcleod - 1879,1879-01-01,Capsized,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
King Of Algeria - 1879,1879-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Michigan - 1879,1879-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizzie M. Stewart - 1879,1879-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Natrona - 1879,1879-01-01,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockwood - 1879,1879-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
S. T. A. Frost - 1879,1879-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
W. D. Stewart - 1879,1879-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Estella - 1879,1879-01-06,Capsized,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis Hilyard - 1879,1879-01-27,Sprung a leak,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine Royal - 1879,1879-08-16,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Edith Troop - 1880,1880-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma V. - 1880,1880-01-01,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Mignonette - 1880,1880-01-01,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Stag - 1880,1880-01-01,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
C. F. Elwell - 1880,1880-01-02,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Henrietta - 1880,1880-10-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Irving Hall - 1880,1880-11-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
England - 1880,1880-11-21,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Anemone - 1880,1880-12-03,Stranded,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Freeeman Dennis - 1881,1881-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Lowerison - 1881,1881-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
W. H. Brookfield - 1881,1881-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Flying Arrow - 1881,1881-01-27,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
George Bell - 1881,1881-10-01,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Ella And Winnie - 1882,1882-10-01,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellie E. Butler - 1883,1883-08-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Emily Jane - 1883,1883-08-01,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
D. W. Dexter - 1883,1883-08-29,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Edith R. - 1883,1883-08-29,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
William Hayes - 1883,1883-11-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Annie - 1883,1883-12-16,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta - 1883,1883-12-31,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert M. - 1884,1884-03-21,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Erema - 1884,1884-11-01,Foundered,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Mello - 1885,1885-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
May - 1885,1885-01-28,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Kathleen - 1885,1885-12-04,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Leach - 1885,1885-12-26,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandnaes - 1886,1886-11-28,Stranded,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Anthony - 1888,1888-01-23,Abandoned,Unknown,81,,,,,,,,,Schooner,Loss,Abandoned,Ice,,,"Boston, Massachusetts , United States","Cornwallis, Nova Scotia , Canada",Partial Loss,,,,"Maitland, Nova Scotia , Canada",,Sail,Schooner,
Parker M. Whitmore - 1890,1890-08-24,Stranded,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Union - 1891,1891-10-13,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Kate - 1892,1892-03-28,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
James Arthur - 1892,1892-10-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Platina - 1893,1893-01-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Eldon - 1893,1893-04-27,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto And Antonia - 1893,1893-08-17,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Emma Proctor - 1893,1893-08-22,Stranded,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Simmons - 1898,1898-11-27,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Grace Rice - 1899,1899-07-14,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizzie M. - 1899,1899-07-28,Sank,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Frederick H. Ii - 1940,1940-08-15,Sank,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Thorold - 1940,1940-08-22,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenordoc - 1940,1940-09-15,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Watkins F. Nisbet - 1940,1940-12-07,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
A. D. Huff - 1941,1941-02-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Maplecourt - 1941,1941-02-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadian Cruiser - 1941,1941-02-22,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
J. B. White - 1941,1941-03-01,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadolite - 1941,1941-03-22,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Portadoc - 1941,1941-04-04,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Flora B. - 1941,1941-06-24,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Vancouver Island - 1941,1941-10-15,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Ottawa - 1942,1942-09-01,Sank,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethel And Albert - 1945,1945-08-02,Collision,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Matilda C. - 1947,1947-08-13,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Irma & Rog - 1952,1952-03-03,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Little Clive - 1952,1952-03-03,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenfield - 1957,1957-04-07,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy & Sisters - 1961,1961-03-21,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Marjorie Byrl - 1961,1961-03-21,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Muriel Eileen - 1961,1961-03-21,Missing,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Joyce And Reanie - 1961,1961-06-24,Stranded,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Annie Carroll - 1962,1962-12-17,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Nancy And Janet - 1964,1964-06-08,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Ginger Kaye - 1966,1966-01-24,Wrecked,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,
Thoroughbred - 1937,1937-11-21,Wrecked,"Two Islands, Minas Basin, Bay of Fundy, 1.5 miles SE of",,,,,,,,,,,,,,,,,,,,,,,,,,
Amherst - 1874,1874-05-23,Stranded,"Two Islands, Minas Basin",,,,,,,,,,,,,,,,,,,,,,,,,,
Foaming Billow - 1906,1906-04-26,Stranded,"Twin Ledges, 5 miles W of Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Due Sorelle B. - 1905,1905-08-29,Stranded,"Tusket River, ledge on",,,,,,,,,,,,,,,,,,,,,,,,,,
Moselle - 1895,1895-11-10,Wrecked,Tusket River,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmetto - 1908,1908-12-01,Stranded,Tusket River,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannah - 1721,1721-09-13,Stranded,"Tusket Islands, one of",,,,,,,,,,,,,,,,,,,,,,,,,,
Esperanza - 1845,1845-01-01,Stranded,"Tusket Islands, one of",,,,,,,,,,,,,,,,,,,,,,,,,,
John Murphy - 1883,1883-06-20,Stranded,Tusket Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique - 1890,1890-07-05,Stranded,Tusket Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
Sukey - 1798,1798-01-01,Wrecked,Tusket Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Sally - 1808,1808-12-01,Stranded,Tusket Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilbert - 1841,1841-08-01,Wrecked,Tusket Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion - 1868,1868-10-17,Stranded,Tusket Island,,,,,,,,,,,,,,,,,,,,,,,,,,
E. L. Perkins - 1875,1875-06-29,Stranded,Tusket Island,,,,,,,,,,,,,,,,,,,,,,,,,,
Osceola - 1874,1874-01-27,Stranded,Tusket,,,,,,,,,,,,,,,,,,,,,,,,,,
Union Star - 1885,1885-03-29,Stranded,Turtle Reef,,,,,,,,,,,,,,,,,,,,,,,,,,
Union - 1875,1875-01-02,Stranded,"Tuffins Island, near Marie Joseph",,,,,,,,,,,,,,,,,,,,,,,,,,
Hiram - 1832,1832-01-12,Wrecked,"Trout Cove, Digby Neck",,,,,,,,,,,,,,,,,,,,,,,,,,
Fisteno - 1878,1878-01-01,Stranded,"Trout Cove, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Hazel Glen - 1903,1903-06-24,Stranded,"Troop Point, Annapolis River",,,,,,,,,,,,,,,,,,,,,,,,,,
Cobequid - 1914,1914-01-13,Stranded,"Trinity Rock, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Wapella - 1862,1862-04-11,Wrecked,Trinity Ledges,,,,,,,,,,,,,,,,,,,,,,,,,,
Sylvan - 1892,1892-04-02,Foundered,"Trinity Ledge, near Cape Fouchere (Fourchu?)",,,,,,,,,,,,,,,,,,,,,,,,,,
Montana - 1875,1875-05-10,Stranded,"Trinity Ledge, Cape St. Mary",,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Home - 1881,1881-01-03,Stranded,"Trinity Ledge, 7 miles off Yarmouth",,,,,,,,,,,,,,,,,,,,,,,,,,
Cordelia - 1870,1870-01-01,Stranded,Trinity Ledge,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiona - 1925,1925-05-23,Stranded,Trinity Ledge,,,,,,,,,,,,,,,,,,,,,,,,,,
La Canadienne - 1875,1875-08-20,Stranded,"Trinity Cove, St. Paul Island",,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Tribune - 1797,1797-11-23,Sank,"Tribune Head, Herring Cove",,,,,,,,,,,,,,,,,,,,,,,,,,
A. Lincoln - 1912,1912-11-29,Wrecked,Tracadie,,,,,,,,,,,,,,,,,,,,,,,,,,
Shemogue - 1930,1930-12-23,Stranded,"Torbay, 7 miles SW of Torbay light",,,,,,,,,,,,,,,,,,,,,,,,,,
New Dominion - 1895,1895-02-05,Stranded,Torbay Point,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Ann - 1843,1843-01-01,Wrecked,Torbay,,,,,,,,,,,,,,,,,,,,,,,,,,
Walter Junior - 1934,1934-05-04,Stranded,"Tor Bay, entrance",,,,,,,,,,,,,,,,,,,,,,,,,,
H. Fenwick - 1875,1875-09-04,Stranded,"Tor Bay, approx. 400 yards E of Light",,,,,,,,,,,,,,,,,,,,,,,,,,
Florence C. - 1906,1906-06-02,Grounded,Tor Bay Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhiwindda - 1883,1883-06-25,Stranded,Tor Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Birdie - 1886,1886-08-31,Stranded,Tor Bay,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaidee - 1896,1896-11-01,Stranded,"Toney River, near Caribou",,,,,,,,,,,,,,,,,,,,,,,,,,
James Davis - 1890,1890-12-01,Stranded,"Toney River, 0.75 mile west of",,,,,,,,,,,,,,,,,,,,,,,,,,
R. Munn - 1879,1879-10-14,Stranded,Toney River,,,,,,,,,,,,,,,,,,,,,,,,,,
Earl Grey - 1912,1912-04-17,Stranded,Toney River,,,,,,,,,,,,,,,,,,,,,,,,,,
Harry B. - 1922,1922-08-20,Foundered,Toney River,,,,,,,,,,,,,,,,,,,,,,,,,,
G. E. M. Battock - 1940,1940-10-28,Wrecked,"Tomcod Rock, Green (Country) Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Etta - 1883,1883-11-14,Grounded,"Tom Cod Rocks, Country Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Covell - 1875,1875-10-30,Stranded,"Tom Cod Rock, Country Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Jessamine - 1896,1896-12-16,Stranded,"Todds Point, Lockeport",,,,,,,,,,,,,,,,,,,,,,,,,,
Tippy Tim - 1945,1945-11-30,Foundered,"Todds Point, Lockeport",,,,,,,,,,,,,,,,,,,,,,,,,,
Abeona - 1877,1877-09-22,Stranded,"Toby Cove, Chedabucto Bay",,,,,,,,,,,,,,,,,,,,,,,,,,
Sister`s Mbj Ii - 1976,1976-02-02,Grounded,"Tiverton, Petite Passage, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
T. M. Ellsworth - 1870,1870-11-15,Stranded,"Tiverton, Long Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Robert G. Cann - 1946,1946-02-16,Foundered,"Tiverton, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Wild Rose - 1895,1895-12-04,Stranded,"Tiverton Beach, Long Island, Bay of Fundy",,,,,,,,,,,,,,,,,,,,,,,,,,
Camelia - 1891,1891-10-13,Wrecked,"Tin Cove, Scatarie Island",,,,,,,,,,,,,,,,,,,,,,,,,,
Ringhorn - 1926,1926-08-07,Stranded,"Tin Cove, Scatarie Island",,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Tilbury - 1757,1757-09-25,Stranded,"Tilbury Rock, 1.7 miles ENE of St. Esprit",,,,,,,,,,,,,,,,,,,,,,,,,,
St. Peter - 1871,1871-01-17,Stranded,Tilbury Head,,,,,,,,,,,,,,,,,,,,,,,,,,
Norns - 1876,1876-11-01,Stranded,"Tiffin Ledges, Marie Joseph",,,,,,,,,,,,,,,,,,,,,,,,,,
John Henry - 1845,1845-07-30,Stranded,Thrumcap Shoal,,,,,,,,,,,,,,,,,,,,,,,,,,
Ino - 1847,1847-08-09,Wrecked,Thrumcap Shoal,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloriana - 1903,1903-05-05,Stranded,"Thrum Cape, near Canso",,,,,,,,,,,,,,,,,,,,,,,,,,
Fair Lady - 1844,1844-10-07,Stranded,"Thrum Cap, Yarmouth Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Mirella - 1875,1875-10-01,Stranded,"Thrum Cap, near Halifax",,,,,,,,,,,,,,,,,,,,,,,,,,
Mayflower - 1844,1844-10-07,Stranded,"Thrum Cap, near entrance to Yarmouth Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
HMS Dauntless - 1928,1928-07-02,Grounded,"Thrum Cap Shoals, east of Halifax",,,,,,,,,,,,,,,,,,,,,,,,,,
Olivette - 1898,1898-03-30,Stranded,"Thrum Cap Shoal, mouth of Halifax Harbour",,,,,,,,,,,,,,,,,,,,,,,,,,
Gladys Elena - 1928,1928-04-21,Foundered,"Thrum Cap Shoal, Halifax Harbour, off",,,,,,,,,,,,,,,,,,,,,,,,,,
