shipsName,shipsOwner,yearBuilt,vesselType,dateLost,year,month,day,latitude,longitude,locationLost,causeOfLoss,departurePort,destinationPort
Carbon,,1857,Schooner - Barge,3/3/1902,1902.0,3,3,38.84347,-74.87468,Cold Spring LSS SSE 6.5 mi,Burned; Abandoned,"Philadelphia, PA","New Bedford, MA"
Cardiff,,,Brig,3/19/1856,1856.0,3,19,39.20278,-74.64166,Corsons Inlet bar,Grounded,"Les Cayes, Haiti","New York, NY"
Carina Madre,,,Bark,12/2/1873,1873.0,12,2,,,Shark River Inlet,Wrecked,"Liverpool, England","New York, NY"
Carissa II,Roger Jackson,,Cabin cruiser,5/30/1974,1974.0,5,30,,,Barnegat Inlet E 19 mi,Broken cooling hose,,
Carlo,,,Ship,1838,1838.0,,,39.60714,-74.19513,Long Beach Island,Foundered,"New Orleans, LA",
Carlos Alberto,,,Brig,8/28/1857,1857.0,8,28,39.92812,-74.06906,Barnegat Inlet N 11.5 mi,Stranded,"Genoa, Italy","New York, NY"
Carlotta (1867),,,Schooner,6/27/1867,1867.0,6,27,,,Squan Inlet,Foundered,"Providence, RI","Port Richmond, NY"
Carmelita,,,Schooner,1857,1857.0,,,,,Brigantine Beach,Wrecked,"LaGayrie, France","New York, NY"
Caro,E T Hallowell,1865,Bark,8/16/1884,1884.0,8,16,,,Scotland Lightship,"Collision w/ ""Josephine""","New York, NY","St Johns, USVI"
Carol and Gail,Carol and Gail Inc,1942,Motor vessel diesel,10/18/1971,1971.0,10,18,,,Point Pleasant Beach,Foundered,,
Carol Kay,Edward L Koch,,Cabin cruiser,6/15/1954,1954.0,6,15,,,BeacH Haven SE 14 mi,"Collision w/ ""Slovenija""",,Fishing trip
Carolina (1842),,,Schooner,4/2/1842,1842.0,4,2,,,Long Beach Island,Stranded,"Salem, MA",
Carolina (1918),NY & Porto Rico SS Co,1896,Passenger cargo ship,6/2/1918,1918.0,6,2,39.09305,-73.11500,Sandy Hook SE 125 mi,,,
Caroline (1836),,,Sloop,8/1836,1836.0,8,,,,Barnegat,"Collision w/ ""Superior"" in fog","St John, NF","New York, NY"
Caroline (1837),,,Sloop,12/8/1837,1837.0,12,8,,,,Capsized,"Philadelphia, PA","Cantwells Bridge, DE"
Caroline (1849),,,Schooner,8/23/1849,1849.0,8,23,,,Hereford Inlet bar,Stranded,"New York, NY","Philadelphia, PA"
Caroline (1881),,,Sloop,7/1/1881,1881.0,7,1,,,Man Killer Island,,"New York, NY","Atlantic City, NJ"
Caroline Augusta,,,Schooner,1/30/1877,1877.0,1,30,,,Tuckers Beach,Grounded,"Gravesend Bay, NY",Fishing
Caroline Hall,John W Hall,1848,Schooner,3/13/1870,1870.0,3,13,,,Pecks Beach,Stranded,"Providence, RI","Frederick, DE"
Caroline Young,Samuel R Young,1868,Schooner,4/6/1886,1886.0,4,6,,,Cold Spring Bar,Foundered,"Lanesville, MA","Philadelphia, PA"
Carolinian,,,Ship,1/10/1826,1826.0,1,10,,,Cape May,Driven out to sea,"Charleston, SC",
Carrara,B Fabbricotti,1875,Bark,6/28/1888,1888.0,6,28,,,Squan Beach N 1 mi,Stranded,"Almeira, Spain","Perth Amboy, NJ"
Carrie,,1890,Schooner - Barge,4/27/1904,1904.0,4,27,,,Seagirt E 6 mi,Foundered; abandoned,"Lamberts Point, VA","Boston, MA"
Carrie A Lane,A Seawall,1887,Schooner,5/12/1888,1888.0,5,12,38-05-00 N,74-50-00 W,New Jersey coast,"Collision w/ ""Newport""","Boston, MA","Norfolk, VA"
Carrie C Miles,,1871,Schooner,10/15/1907,1907.0,10,15,,,Sandy Hook LSS NE 3 mi,Stranded,"Perth Amboy, NJ","Rockland, ME"
Carrie Clark,Neptune Line,1874,Schooner - Barge,11/28/1921,1921.0,11,28,,,Highlands Light NW,Foundered,"Hampton Roads, VA","Providence, RI"
Carrie D Allen,D A Newcomb et al,1874,Schooner,2/21/1879,1879.0,2,21,,,Sandy Hook,Lost sails & anchor in gale,"Wellfleet, MA",
Carrie E Look,,1890,Schooner,12/8/1916,1916.0,12,8,,,Perth Amboy,Foundered,,
Carrie Gibbs,,,Schooner,12/22/1872,1872.0,12,22,,,Turtle Gut Inlet,Grounded,"New York, NY","Charleston, SC"
Carrie L,,1882,Schooner,5/11/1911,1911.0,5,11,,,Little Beach LSS S 1.5 mi,Grounded,"Keyport, NJ",Delaware
Carrie Purington,Purington et al,1870,Brig,2/12/1883,1883.0,2,12,,,Barnegat N 20 mi,Lost the deck cargo,"Port au Prince, Haiti","Boston, MA"
Carrie S Hart,S H Cady et al,1873,Schooner 3 masted,12/21/1881,1881.0,12,21,,,Cape May Point,Stranded,"Boston, MA","Philadelphia, PA"
Carrie S Webb (1872),Bentley Miller & Thomas,1867,Schooner,12/23/1872,1872.0,12,23,,,Turtle Gut Bar,Stranded,"New York, NY","Charleston, SC"
Carrie S Webb (1877),Bentley Gildersleeve & Co,1867,Schooner,11/6/1877,1877.0,11,6,,,Sandy Hook,Stranded,"New York, NY","Savannah, GA"
Carrie S Webb (1881),Bentley Gildersleeve & Co,1867,Schooner,3/1/1881,1881.0,3,1,,,,Stranded,Puerto Rico,"New York, NY"
Carrie Sanders,W B Sanders,1868,Schooner,12/12/1879,1879.0,12,12,,,Sandy Hook Romer Shoal,Stranded,"New York, NY","Mayaguez, PR"
Carrie Winslow,,,Brig,2/11/1878,1878.0,2,11,,,New York Bay,Collision,"Montevideo, Uraguay","New York, NY"
Carroll,T J Hooper,1920,Schooner - Barge,2/15/1930,1930.0,2,16,,,Cape May,Foundered,"Baltimore, MD",
Cartegena (05/1865),,,Schooner,5/25/1865,1865.0,5,25,,,Cape May,Stranded,,
Cartegena (12/1865),,,Schooner,12/3/1865,1865.0,12,3,38.94111,-74.85000,Two Mile Beach,,,
Caspian,,,Schooner,1/21/1837,1837.0,1,21,,,Delaware Bay,Grounded,,
Cassandra (1867),,1864,Steamship,2/5/1867,1867.0,2,5,39.40569,-74.35908,Brigantine Shoal,Stranded,"New Orleans, LA","New York, NY"
Cassandra (1957),J Hawes,1939,Yacht,8/31/1957,1957.0,8,31,,,New Jersey coast,Burned,,
Cassie,,1890,Barge,10/24/1917,1917.0,10,24,,,Sandy Hook,Stranded,,
Castalia,,1874,Brig,2/3/1880,1880.0,2,3,`,,"Highlands, NJ",Grounded in storm,"Galveston, TX","New York, NY"
Castle Del Key,,,Privateer,12/19/1705,1705.0,12,19,,,Sandy Hook,Foundered,"New York, NY",Privateer patrol
Castleton,,,Barge,12/17/1901,1901.0,12,17,,,"Long Branch, NJ",Wrecked,,
Catalone,English & American Shipping Co,1901,Steam freighter,12/18/1908,1908.0,12,18,,,"Gedney Channel, NY Harbor entrance","Collision w/ ""Daghestan"" in fog","Boston, MA","New York, NY"
Catamount USS,U S Coast Guard,1929,Patrol boat,3/27/1943,1943.0,3,27,, ,Ambrose Light,Explosion,"Manasquan, NJ",Patrol duty
Caterina,Guiseppi Drago,1875,Bark,10/23/1912,1912.0,10,23,,,Barnegat LSS NE 1.75 mi,Stranded,"Montevideo, Uraguay","New York, NY"
Catharine,,,Schooner,3/21/1855,1855.0,3,21,,,Cape May,"Collision w/ ""Sarah""",,
Catherine H Brown,,,Schooner,11/21/1851,1851.0,11,21,,,Long Beach Island,Capsized in storm,"New York, NY",Southen ports
Catherine Jackson,,,Brig,1870,1870.0,,,40.12333,-74.02916,Squan Beach,Foundered,,
Catherine L Brown,United Fisheries Co,1919,Schooner diesel,2/25/1947,1947.0,2,25,,,Cape May,Foundered,"Gloucester, MA",Fishing service
Catherine W May,May et al,1864,Schooner,3/18/1877,1877.0,3,18,,,Egg Harbor bar,Damaged in gale,"Philadelphia, PA","Beverly, MA"
Catherine Whiting,H Winsor,1864,Steamship,5/2/1886,1886.0,5,2,,,Highlands,Damaged in storm,"Philadelphia, PA","Fall River, MA"
Cato (1808),,,Merchantman,11/11/1808,1808.0,11,11,,,Sandy Hook,Stranded,Bahamas,"New York, NY"
Cato (1828),,,Brig,10/16/1828,1828.0,10,16,,,Sandy Hook,Foundered in storm,Delaware,
Catonsville,T J Hooper,1919,Schooner - Barge,1/29/1928,1928.0,1,29,,,Barnegat Light,Foundered,,
Cavalier (1879),Adamson & Ronaldson,1866,Schooner,3/20/1879,1879.0,3,20,,,Sandy Hook SE 35 mi,"Collision w/ ""William R Huston""","New York, NY","Liverpool, England"
Cavalier (1899),,1893,Schooner 3 masted,12/2/1899,1899.0,12,2,,,Spermaceti Cove LSS S 1 mi,Stranded,"Port au Prince, Haiti","New York, NY"
Cayru,Lloyd Brasileiro,1919,Freighter steam,3/8/1942,1942.0,3,8,39.08333,-73.78333,Stone Harbor E 39 mi,Torpedoed by U-94,"Rio de Janiero, Brazil","New York, NY"
Cearense,Booth SS Co,1891,Steamship,3/16/1906,1906.0,3,16,,,Island Beach LSS NNE 1.5 mi,Stranded in snow storm,"Para, Brazil","New York, NY"
Cecil P Stewart,Dunn & Elliot,1919,Schooner,2/17/1927,1927.0,2,17,39.67823,-74.14282,Harvey Cedars LSS NE 1 mi,Stranded,"Brunswick, GA","New York, NY"
Cecila M Dunlap,Bouchard Trans Co,1876,Barge,9/12/1931,1931.0,9,12,40.40000,-73.91666,Highlands Lights E 3.25 mi,Sank,,
Celeste,,,Schooner,12/1842,1842.0,12,,,,Absecon Beach,Stranded,"Baltimore, MD","New York, NY"
Celina,Adam Hitchcock,1882,Schooner 3 masted,5/12/1886,1886.0,5,12,,,Absecon,"Collision w/ ""Jonathan Bourne""",Caribbean,"New York, NY"
Centennial #7 (1877),,1876,Pilot schooner,5/3/1877,1877.0,5,3,,,"Long Branch, NJ",Lost sails & spars,,Pilot service
Centennial #7 (1888),,1876,Pilot schooner,3/12/1888,1888.0,3,12,,,Sandy Hook Horseshoe,Caught in ice,,Pilot service
Centennial #7 (1889),,1876,Pilot schooner,1/21/1889,1889.0,1,21,,,Sandy Hook LSS N .5 mi,Lost sails & spars,,Pilot service
Centennial (1878),,,Schooner,1/28/1878,1878.0,1,28,39.50955,-74.29834,Little Egg LSS E .5 mi,Stranded,"Tuckerton, NJ","Short Beach, NJ"
Centennial (1888),,1876,Schooner,7/14/1888,1888.0,7,14,,,Egg Harbor Inlet North bar,Stranded,"Mays Landing, NJ","New York, NY"
Centennial (1895),,1876,Schooner,5/13/1895,1895.0,5,13,,,Absecon Inlet outer bar,Stranded,"Haverstraw, NY","Atlantic City, NJ"
Centipede,Walker & Hughes,1869,Barge,8/7/1901,1901.0,8,7,,,New Jersey coast,Abandoned at sea,,
Centurion,,,Sloop,7/3/1892,1892.0,7,3,40.47610,-74.02502,Sandy Hook LSS NW .25 mi,Stranded,"New York, NY","Sandy Hook, NJ"
Cephas Starrett,George Gregory et al,1857,Schooner 3 masted,8/7/1886,1886.0,8,7,,,,Sprang a leak,"New York, NY","Galveston, TX"
Chaires,,,Bark,1856,1856.0,,,,,Barnegat Shoal,Stranded,,
Chalmette,Southern Pacific,1879,Passenger liner,7/28/1913,1913.0,7,28,,,Barnegat LSS SW 1.25 mi,Stranded,"New Orleans, LA","New York, NY"
Champion (1853),,,Schooner,5/18/1853,1853.0,5,18,,,Marcus Hook,Sank,"Lewes, DE","Philadelphia, PA"
Champion (1879),NY & Charleston SS Co,1959,Sidewheel steam,11/7/1879,1879.0,11,7,,,Delaware Lightship E 15 mi,"Collision w/ ""Lady Octavia""","New York, NY","Charleston, SC"
Chance (1757),,,Snow,2/17/1757,1757.0,2,17,,,"Gloucester Point, VA",Overset by ice,"New York, NY",Jamaica
Chance (1771),,,Snow,2/17/1771,1771.0,2,17,,,Cape May,Stranded in snow storm,Georgia,"Philadelphia, PA"
Chapparra,"Empresa Naviera de Cuba, S.A. ",1906,Freighter,10/27/1918,1918.0,10,27,39.73138,-73.98861,Barnegat SE 10 mi,,,
Charlemagne Tower Jr,Southern SS Co,1886,Transport steam,3/6/1914,1914.0,3,6,39.84195,-74.00011,Barnegat N 6 mi,,,
Charles A Briggs,,,Schooner,10/28/1891,1891.0,10,28,,,Barnegat Shoal,Stranded,"Fall River, MA","Norfolk, VA"
Charles A Campbell,Matowac Corp,1890,Schooner,1926,1926.0,,,,,Bayonne,Abandoned,,
Charles A Coulomb,George E Meger,1873,Schooner,12/7/1885,1885.0,12,7,,,Cape May,Lost sails & spar in gale,"Cardenas, Mexico","Philadelphia, PA"
Charles A Hoard,,,Brig,12/9/1885,1885.0,12,9,,,Sandy Hook Romer Shoal,Stranded,"Saint Croix, WI","New York, NY"
Charles A Keeler,,,Schooner,6/2/1840,1840.0,6,2,,,Squan Beach,Grounded,"Philadelphia, PA","Albany, NY"
Charles A Moller,,,Schooner,12/1/1872,1872.0,12,1,,,Sandy Hook Swash Channel,Leaking; Abandoned,"Philadelphia, PA","Boston, MA"
Charles Albert,,,Brig,8/28/1857,1857.0,8,28,39.92812,-74.07083,Barnegat Inlet N 11.5 mi,Stranded,"Genoa, Italy","New York, NY"
Charles C Dame,Charles Athinson,1883,Schooner 3 masted,1/9/1884,1884.0,1,9,,,Manasquan Inlet South Jetty,Grounded in storm,"Portsmouth, NH","Baltimore, MD"
Charles C Havens,,1907,Motor vessel gas,9/6/1923,1923.0,9,6,,,"South Amboy, NJ",Burned,,
Charles C McIlvaine,,1912,Barge,9/6/1923,1923.0,9,6,,,"South Amboy, NJ",Burned,,
Charles Colgate (1856),Maibler & Lord,1850,Schooner,1/13/1856,1856.0,1,13,39.40132,-74.35098,Brigantine Shoal,Stranded in storm,,
Charles Colgate (1858),Maibler & Lord,1850,Schooner,2/16/1858,1858.0,2,16,,,Squan Beach,Stranded in storm,"Baltimore, MD","New York, NY"
Charles Cranmer,,,Schooner,6/11/1856,1856.0,6,11,,,Squan Beach E 10 mi,Burned,"New York, NY","Richmond, VA"
Charles D Ellis,,,Schooner,11/27/1851,1851.0,11,27,,,Egg Harbor Light E 9 mi,"Collision w/ ""Brother Jonathan""","San Juan, Puerto Rico","Wilmington, NC"
Charles Dennis,E S Nightingale,1859,Schooner,12/31/1880,1880.0,12,31,,,Delaware Bay,Crushed in ice,"Port Richmond, PA","New Bedford, MA"
Charles E Balch (A),,1882,Schooner,2/1/1886,1886.0,2,1,,,Sandy Hook Flynn's Knoll N 2 mi,Stranded,"Perth Amboy, NJ","Portland, ME"
Charles E Balch (B),,1882,Schooner,5/30/1886,1886.0,5,30,,,Townsends Inlet South bar,Stranded,"Bath, ME","Philadelphia, PA"
Charles E Jackson,A E Babcock,1867,Schooner,12/24/1875,1875.0,12,24,,,Deal Beach; Long Branch LSS S 3 mi,Stranded,"Portland, ME","Philadelphia, PA"
Charles E Page,,,Schooner,1838 - 1878,1860.0,,,,,Squan Inlet S 2.5 mi,Stranded,,
Charles E Pope,,,Schooner,5/8/1867,1867.0,5,8,,,Squan Beach,Wrecked,,
Charles E Raymond,E Higgins,1864,Schooner,3/4/1872,1872.0,3,4,,,Cape May NNW 7 mi,"Collision w/ sunken ""Harry Conrad""","Boston, MA","Philadelphia, PA"
Charles F Mayer (1885),Consolidated Coal Co,1883,Steamship,2/5/1885,1885.0,2,5,,,Sandy Hook S 17 mi,"Collision w/ ""Howard Williams""","Wilmington, DE","Baltimore, MD"
Charles F Mayer (1887),Charles F Mayer,1883,Steamship,10/20/1887,1887.0,10,20,,,"Chadwick, NJ",Stranded in gale,"Boston, MA","Baltimore, MD"
Charles F Prichard,Westmoreland Coal Co,1904,Barge,10/23/1937,1937.0,10,23,39.24184,-74.25765,Atlantic City SE 11.5 mi,Foundered while in tow,"Norfolk, VA","Boston, MA"
Charles H Baxter,,1930,Barge,5/11/1950,1950.0,5,11,,,"South Amboy, NJ",Burned after explosion,,
Charles H Marshall,,,Schooner,12/17/1889,1889.0,12,17,,,Sandy Hook LSS S 11.5 mi,Stranded,,Cruising
Charles H Pool,,,Brig,8/17/1867,1867.0,8,17,,,Great Egg Harbor bar,Stranded,West Indies,"New York, NY"
Charles H Valentine,Aster Curtis,1884,Schooner 3 masted,10/29/1885,1885.0,10,29,,,Sandy Hook Point,Stranded,"Georgetown, DC","New York, NY"
Charles Haskell,,1869,Schooner,4/29/1885,1885.0,4,29,,,Sandy Hook LSS SW 1 mi,Dragged Anchors in gale,"Gloucester, MA",Fishing service
Charles J Hooper,Eastern Transportation Co,1922,Schooner - Barge,11/7/1948,1948.0,11,7,39.78472,-73.93055,Barnegat Light E 8 mi,Foundered,"Norfolk, VA","New York, NY"
Charles J String,,,Schooner,4/27/1894,1894.0,4,27,,,Ocean City LSS ESE 2 mi,Grounded,"Little Egg Harbor, NJ","Milford, DE"
Charles K Buckley,J P White,1890,Schooner 3 masted,4/15/1914,1914.0,4,15,,,"Long Branch, NJ",Stranded,"Jacksonville, FL","Elizabeth, NJ"
Charles Kennedy Jr,,1902,Steamship,1944,1944.0,,,,,"Elizabethport, NJ",Foundered,,
Charles L Davenport (1895),,1890,Schooner,10/27/1895,1895.0,10,27,,,Tathams Beach South End,Stranded,"Providence, RI","Philadelphia, PA"
Charles L Davenport (1900),,1890,Schooner,7/1900,1900.0,7, ,,,Sandy Hook,Fire,"Philadelphia, PA","Bangor, ME"
Charles L Lawrence,,,Schooner,12/19/1875,1875.0,12,19,,,Atlantic City LSS E,Stranded,"Chincoteague, VA","New York, NY"
Charles L Mitchell,,1881,Schooner,3/23/1896,1896.0,3,23,,,Cold Spring Inlet North bar,Stranded in snow storm,"Port of Spain, Trinidad","New York, NY"
Charles Lawrence,D S Stetson,1874,Schooner 3 masted,2/28/1883,1883.0,2,28,,,Barnegat,"Collision w/ ""Alps""","New York, NY","Philadelphia, PA"
Charles Lee,,,Tug,7/3/1885,1885.0,7,3,,,Five Fathom Bank,Unknown,,
Charles Loring,,1878,Bark,2/2/1907,1907.0,2,2,,,Sandy Hook,"Collision w/ ""Seneca""",,
Charles M Kelley (4/1900),,1892,Sloop,4/20/1900,1900.0,4,20,,,Brigantine Inlet,Stranded,"Brigantine, NJ","Yorktown, VA"
Charles M Kelley (5/1900),,1892,Sloop,5/5/1900,1900.0,5,5,,,Atlantic City LSS N 1.5 mi,Stranded,"Chincoteague, VA","Atlantic City, NJ"
Charles M Newins (1881),W H Thompson,1860,Schooner,1/28/1881,1881.0,1,28,,,Barnegat LSS E 1 mi,Grounded,"Mobile, AL","New York, NY"
Charles M Newins (1886),W H Thompson,1860,Schooner,2/10/1886,1886.0,2,10,,,Barnegat SE 20 mi,Burned; Abandoned,"Wilmington, NC","New York, NY"
Charles Milton,,,Sloop,10/6/1889,1889.0,10,6,,,Little Egg Harbor,Grounded,"New York, NY","Little Egg Harbor, NJ"
Charles Morford,William Schultz,1871,Schooner 3 masted,1/20/1888,1888.0,1,20,,,Barnegat,Dismasted,"Newport News, VA","Somersey, MA"
Charles Morgan,,,Pilot boat,1844,1844.0,,,,,,Lost at sea,,
Charles P Notman,Samuel R Percy,1894,Schooner,6/11/1900,1900.0,6,11,,,Cape May,"Collision w/ ""Colorado""","Norfolk, VA","Portland, ME"
Charles P Sinnickson,George A Twibill,1863,Schooner 3 masted,2/9/1886,1886.0,2,9,,,Barnegat E,Lost rudder,"Yatesville, NC","New York, NY"
Charles Pitman,,,Schooner,1/1845,1845.0,1,,,,Sandy Hook Romer Shoal,Grounded; Bilged,"Richmond, VA","New York, NY"
Charles Platt,James W Elwell,1874,Bark,2/10/1886,1886.0,2,10,,,Barnegat S 3 mi,Stranded,"Pernambuco, Brazil","New York, NY"
Charles R Stone,,1873,Steamship,11/7/1924,1924.0,11,7,,,Bayonne,Burned,,
Charles Thomas,R L Taylor,1864,Steamship,11/7/1868,1868.0,11,7,,,Sandy Hook Flynn Knoll,"Collision w/ ""General Meade""","Savannah, GA","New York, NY"
Charles W Alcott,,1873,Schooner,5/5/1912,1912.0,5,5,,,,,"New York, NY","Little Egg Harbor, NJ"
Charles W Church,,1884,Schooner,4/14/1913,1913.0,4,14,,,Barnegat Inlet E 5 mi,Collision,,
Charles W Davis,,1904,Barge,8/25/1909,1909.0,8,25,,,Cold Spring Inlet North bar,Stranded,"Bellevue, DE","Cold Spring, NJ"
Charles W Parker,,1883,Schooner,4/23/1907,1907.0,4,23,39.36281,-74.40217,Atlantic City LSS SE .75 mi,Stranded,"Atlantic City, NJ","Cape Hatteras, NC"
Charles Will,,,Schooner,4/14/1868,1868.0,4,14,,,Sandy Hook,Stranded,,
Charles Wilma,,1939,Motor vessel gas,6/22/1942,1942.0,6,22,,,"Bivalve, NJ",Burned,,
Charlestown,,,,1/25/1766,1766.0,1,25,,,Delaware Bay Branclawine Bank,,"Hamburg, Germany","Philadelphia, PA"
Charlotte (1836),,,Brig,10/15/1836,1836.0,10,15,,,Cape May,Wrecked,"Philadelphia, PA","Boston, MA"
Charlotte (1869),,,Brig,3/27/1869,1869.0,3,27,,,Sandy Hook Horseshoe,Grounded,,
Charlotte (1872),,,Brig,2/3/1872,1872.0,2,3,,,Sandy Hook,Damaged in gale,"Matanzas, Cuba","New York, NY"
Charlotte (1931),,1917,Motor vessel gas,12/9/1931,1931.0,12,9,,,Sea Girt Light,Stranded,,
Charlotte A Maxwell,Gilmartin & Trundy,1917,Schooner 3 masted,3/27/1923,1923.0,3,27,,,Sandy Hook Shoal,Stranded,"New York, NY","Wilmington, NC"
Charlotte Brown,G G Snow,1860,Schooner Fishing,5/5/1885,1885.0,5,5,,,Seabright LSS S 1.25 mi,Stranded,"Harwich, MA","New York, NY"
Charlotte T Sibley,Edward Sibley,1882,Schooner,6/26/1884,1884.0,6,26,,,Absecon Inlet E 15 mi,Lost sails in gale,"Jacksonville, FL","New York, NY"
Charlotte Webb No 5 (1884),,1865,Pilot schooner,9/1/1884,1884.0,9,1,,,Sandy Hook S 25 mi,"Collision w/ ""Alisa""","New York, NY",Pilot service
Charlotte Webb No 5 (1886),,1865,Pilot schooner,4/2/1886,1886.0,4,2,,,Navasink SSE 20 mi,"Collision w/ ""Cambusdoon""","New York, NY",Pilot service
Charlotte Webb No 5 (1889),,1865,Pilot schooner,3/18/1889,1889.0,3,18,,,Sandy Hook Light ESE 18 mi,"Collision w/ ""La Normandie""",,Pilot service
Charlou,,1920,Motor vessel gas,6/7/1929,1929.0,6,7,,,"Bordentown, NJ",Burned,,
Charming Nancy,,,Merchantman,1784,1784.0,,,,,Cape May,Stranded in gale,"Philadelphia, PA",West Indies
Charming Peggy (1752),,,Schooner,11/13/1752,1752.0,11,13,,,Sandy Hook,Grounded in gale,Cape Fare,"New York, NY"
Charming Peggy (1767),,,Sloop,12/1767,1767.0,12,,,,Marcus Hook,Grounded in ice storm,"Philadelphia, PA","New York, NY"
Charres,,,Bark,2/11/1850,1850.0,2,11,,,Barnegat Shoal,Wrecked,,
"Chauncey Jerome, Jr",Eagle & Hazard,1852,Passenger liner,1/12/1854,1854.0,1,12,,,Long Branch N,Stranded in fog,"Liverpool, England","New York, NY"
Cheaton,,,Schooner,2/8/1872,1872.0,2,8,,,Barnegat,Lost sails,"Port Morant, Jamaica","New York, NY"
Cheektowaga,,,Tug,9/23/1923,1923.0,9,23,,,Brigantine Shoal,Stranded,,
Chelwood Beacon,Medomsley,1960,Tanker,1/24/1966,1966.0,1,24,,,Sandy Hook Light E 2 mi,Stranded,Venezuela,"New York, NY"
Cherokee (1843),,,Schooner,8/14/1843,1843.0,8,14,,,New Jersey coast,Foundered; Abandoned,"Richmond, VA","Bristol, RI"
Cherokee (1906),Clyde SS Co,1886,Steamship,1/12/1906,1906.0,1,12,,,Brigantine Shoal,Grounded in fog,"Santo Domingo, Dom Rep","New York, NY"
Cherokee (1918),U S Navy,1891,Tug,2/26/1918,1918.0,2,26,38.59805,-74.65805,Fenwick Island Light NNE 12.5 mi,,,
Chesapeake (1913),,1900,Steamship,5/14/1913,1913.0,5,14,,,Barnegat Light,In distress,,
Chesapeake (1981),,,Fishing boat,7/28/1981,1981.0,7,28,,,Barnegat Light E 14 mi,Burned,"Cape May, NJ",Fishing service
Chester (1849),,,Bark,3/17/1849,1849.0,3,17,,,Barnegat Beach,Stranded,"New Orleans, LA",
Chester (1917),Chester Shipping Co,,Steamship,11/1/1917,1917.0,11,1,,,"Lincoln Park, NJ","Collision w/ ""Delaware""","Chester, PA","Philadelphia, PA"
Chestina Redman,,1873,Bark,2/11/1891,1891.0,2,11,,,Shrewsbury Rocks,Stranded,"Savannah, GA","New York, NY"
Chicopee,,1851,Steamship,7/28/1869,1869.0,7,28,,,"Maurice River, NJ",Burned,,
Chief,,,Schooner,1838 - 1878,1860.0,,,,,Barnegat Inlet N 4.5 mi,Wrecked,,
Chimo,E C Hincks,1869,Schooner,10/4/1875,1875.0,10,4,,,Townsends Inlet N 3 mi,Stranded,"Bangor, ME","Charleston, SC"
China (1805),,,Merchantman,4/21/1805,1805.0,4,21,,,"Five Fathom Bank, Cape May",Sank,"Batavia, DutchEast Indies","Philadelphia, PA"
China (1856),,,Brig,5/27/1856,1856.0,5,27,,,Sandy Hook,Capsized,,
China Arrow,Socony Vacuum Oil Co,1920,Tanker,2/5/1942,1942.0,2,5,37.99166,-75.19166,"Winter Quarter Shoal, VA E",,,
China Wreck,Daniel Jones,1861,Bark,3/1880,1880.0,3,,,,Delaware Breakwater E 3.5 mi,Foundered in storm,"Chepstow, England","Wilmington, NC"
Choapa,Chilean Government,1937,Freighter steam,9/21/1944,1944.0,9,21,40.26666,-73.78333,Long Branch E 9.5 mi,Collision w/ 3 ships,Chile,"New York, NY"
Chocorua,,1869,Schooner,5/29/1898,1898.0,5,29,39.39011,-74.38041,Brigantine Shoal,Stranded,"Cape Henry, VA","New York, NY"
Choctaw (1843),,,Schooner,1/30/1843,1843.0,1,30,,,Sandy Hook Point,Stranded,"Charleston, SC","Boston, MA"
Choctaw (1949),Thorwald Anderson,1945,Motor vessel diesel,10/11/1949,1949.0,10,11,,,Sea Girt E 12 mi,Foundered,,Fishing service
Chrissy James,James Matthews,1965,Dragger,3/20/1975,1975.0,3,20,,,Manasquan Inlet South Jetty,Lost power; Stranded,,Fishing service
Christian Bergh,Albatross SS Co,1944,Freighter Liberty,3/18/1949,1949.0,3,18,,,Highlands S .5 m,Stranded,Greece,"New York, NY"
Christian Bergh No 16,,,Pilot schooner,6/10/1871,1871.0,6,10,,,Highlands E,Collision w/ schooner,"New York, NY",Pilot service
Christiania,,,Brig,12/27/1866,1866.0,12,27,,,Sandy Hook E 6 mi,"Collision w/ ""North American""","Rio de Janiero, Brazil","New York, NY"
Christine Ann,Nicholas Hobor Sr,1943,Clam boat,1/21/1983,1983.0,1,21,,,Atlantic City,Sank,"Atlantic City, NJ",Fishing service
Cienfuegos (1875),I M Duncan,1855,Bark,2/17/1875,1875.0,2,17,,,"Cape Henlopen, DE E 3 mi",Hull pierced,"Matanzas, Cuba","Philadelphia, PA"
Cienfuegos (1922),I M Duncan,1902,Schooner - Barge,5/27/1922,1922.0,5,27,,,Barnegat Buoy,Foundered,"Lamberts Point, VA","New York, NY"
Cinderella,,,Schooner,9/1866,1866.0,9,,,,,Wrecked,"Philadelphia, PA","New York, NY"
Circassian,Atlantic RM SS Co,1856,Steamship,12/18/1869,1869.0,12,18,,,Squan Beach,Stranded,"New Orleans, LA","New York, NY"
Cissie Wright,,,Schooner,10/19/1881,1881.0,10,19,,,Cape May LSS E 1.25 mi,Grounded,"Providence, RI","Philadelphia, PA"
Citation,J Stephan Crow,,Yacht sail,5/6/1971,1971.0,5,6,,,Brigantine Beach,Stranded,,
Citizen,,,Merchantman,4/19/1822,1822.0,4,9,39.37272,-74.34577,Brigantine Shoal E 3 mi,Wrecked,Manila,"New York, NY"
City of Athens,Savannah Line,1911,Passenger liner,5/1/1918,1918.0,5,1,,,Hereford E 20 mi,"Collision w/ ""La Glorie""","New York, NY","Savannah, GA"
